GeneFusion	Publication	Diagnosis_MM
BCR::ABL1	Clinical significance of the BCR-ABL fusion gene in adult acute lymphoblastic leukemia: a Cancer and Leukemia Group B study (8762)., Westbrook et al 1992, Blood, 1992, 80:2983-2990, 1467514	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::PBX1	Predictability of the t(1;19)(q23;p13) from surface antigen phenotype: implications for screening cases of childhood acute lymphoblastic leukemia for molecular analysis: a Pediatric Oncology Group study., Borowitz et al 1993, Blood, 1993, 82:1086-1091, 8353275	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Detection and significance of bcr-abl mRNA transcripts and fusion proteins in Philadelphia-positive adult acute lymphoblastic leukemia., Tuszynski et al 1993, Leukemia, 1993, 7:1504-1508, 8412311	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Prognostic significance of additional chromosome abnormalities in adult patients with Philadelphia chromosome positive acute lymphoblastic leukaemia., Rieder et al 1996, Br J Haematol, 1996, 95:678-691, 8982045	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Incidence of TEL/AML1 fusion gene analyzed consecutively in children with acute lymphoblastic leukemia in relapse., Harbott et al 1997, Blood, 1997, 90:4933-4937, 9389711	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	12p abnormalities and the TEL gene (ETV6) in childhood acute lymphoblastic leukemia., Raimondi et al 1997, Blood, 1997, 90:4559-4566, 9373267	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	TEL-AML1 fusion transcript in relapsed childhood acute lymphoblastic leukemia., Seeger et al 1998, Blood, 1998, 91:1716-1722, 9473238	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::MLLT1	The translocations, t(11;19)(q23;p13.1) and t(11;19)(q23;p13.3): a cytogenetic and clinical profile of 53 patients., Moorman et al 1998, Leukemia, 1998, 12:805-810, 9593285	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::MLLT1	The translocations, t(11;19)(q23;p13.1) and t(11;19)(q23;p13.3): a cytogenetic and clinical profile of 53 patients., Moorman et al 1998, Leukemia, 1998, 12:805-810, 9593285	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::AFDN	The t(6;11)(q27;q23) translocation in acute leukemia: a laboratory and clinical study of 30 cases., Martineau et al 1998, Leukemia, 1998, 12:788-791, 9593282	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Impact of TEL/AML1-positive patients on age distribution of childhood acute lymphoblastic leukemia in Czech Republic., Trka et al 1998, Leukemia, 1998, 12:996-997, 9639432	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::AFF1	Immunophenotypic and genotypic features, clinical characteristics, and treatment outcome of adult pro-B acute lymphoblastic leukemia: results of the German multicenter trials GMALL 03/87 and 04/89., Ludwig et al 1998, Blood, 1998, 92:1898-1909, 9731046	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1	Philadelphia chromosome-positive (Ph+) childhood acute lymphoblastic leukemia: good initial steroid response allows early prediction of favorable treatment outcome., Schrappe et al 1998, Blood, 1998, 92:2730-2741, 9763557	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Surface antigen phenotype can predict TEL-AML1 rearrangement in childhood B-precursor ALL: a Pediatric Oncology Group study., Borowitz et al 1998, Leukemia, 1998, 12:1764-1770, 9823952	Acute lymphoblastic leukemia/lymphoblastic lymphoma
