chromosome	start 	end 	gene	mutation	
9	133589333	133763062	ABL1	Soft_tissue:Angiofibroma_of_soft_tissue(GAB1::ABL1);Perineurioma(ABL1_SV)	
19	11685475	11689823	ACP5	Genetic_tumor_syndrome:Spondyloenchondrodysplasia(ACP5)	
7	5566782	5603415	ACTB	Soft_tissue:Epithelioid_haemangioma(FOSB::ACTB);Pseudomyogenic_haemangioendothelioma(ACTB::FOSB)	
2	158592958	158732374	ACVR1	Genetic_tumor_syndrome:Fibrodysplasia_ossificans_progressiva(ACVR1)	
2	148602086	148688393	ACVR2A	Bone_tumor:Synovial_chondromatosis(FN1::ACVR2A,ACVR2A::FN1)	
5	304291	438406	AHRR	Soft_tissue:Angiofibroma_of_soft_tissue(AHRR::NCOA2)	
11	67250512	67258574	AIP	Soft_tissue:Hibernoma(AIP_del)	
14	105235686	105262088	AKT1	Genetic_tumor_syndrome:Proteus_syndrome(AKT1)	
2	29415640	30144432	ALK	Soft_tissue:Inflammatory_myofibroblastic_tumour(TPM3::ALK,TPM4::ALK,CLTC::ALK,CARS::ALK,ATIC::ALK,SEC31L1::ALK,PPFIBP1::ALK,DCTN1::ALK,EML4::ALK,PRKAR1A::ALK,LMNA::ALK,TFG::ALK,FN1::ALK,HNRNPA1::ALK,::ALK,RANBP::ALK,RRBP1::ALK);Leiomyosarcoma(ALK_SV)	
5	33986283	34008220	AMACR	Soft_tissue:Myxofibrosarcoma(AMACR_gain)	
X	63404997	63425624	AMER1	Soft_tissue:Extraskeletal_osteosarcoma(AMER1_mutated)	
2	69240310	69476459	ANTXR1	Genetic_tumor_syndrome:Haemangioma_capillary_infantile(ANTXR1)	
4	80822303	81046608	ANTXR2	Soft_tissue:Juvenile_hyaline_fibromatosis(ANTXR2_mutated)|Genetic_tumor_syndrome:Hyaline_fibromatosis_syndrome(ANTXR2)	
5	112043195	112181936	APC	Soft_tissue:Elastofibroma(APC_gain);Desmoid_fibromatosis(APC_mutated)|Bone_tumor:Osteoma(APC_mutated)|Genetic_tumor_syndrome:Desmoid_disease(APC);Familial_adenomatous_polyposis_1(APC)	
X	47420516	47431307	ARAF	Bone_tumor:Langerhans_cell_histiocytosis(ARAF_SNV);Erdheim-Chester_disease(ARAF_SNV);Rosai-Dorfman_disease(ARAF_SNV)	
1	27022524	27108595	ARID1A	Soft_tissue:Schwannoma(ARID1A_mutated)|GYN:Adenocarcinoma(ARID1A_SNV)	
6	157099063	157531913	ARID1B	Soft_tissue:Schwannoma(ARID1B_mutated)	
10	63661059	63856703	ARID5B	Soft_tissue:Extraskeletal_osteosarcoma(ARID5B_mutated)	
17	79934683	79975282	ASPSCR1	Soft_tissue:Alveolar_soft_part_sarcoma(ASPSCR1::TFE3)	
12	51157493	51214905	ATF1	Soft_tissue:Angiomatoid_fibrous_histiocytoma(EWSR1::ATF1,FUS::ATF1);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::ATF1);Clear_cell_sarcoma_of_soft_tissue(EWSR1::ATF1)	
2	216176540	216214487	ATIC	Soft_tissue:Inflammatory_myofibroblastic_tumour(ATIC::ALK)	
11	108093211	108239829	ATM	Soft_tissue:Dedifferentiated_liposarcoma(ATM_del)|GYN:Adenocarcinoma(ATM_SNV)	
X	153656978	153664862	ATP6AP1	Soft_tissue:Granular_cell_tumour(ATP6AP1_mutated) 	
X	40440146	40465889	ATP6AP2	Soft_tissue:Granular_cell_tumour(ATP6AP2_mutated) 	
X	76760356	77041702	ATRX	Soft_tissue:Dedifferentiated_liposarcoma(ATRX_del);Leiomyosarcoma(ATRX_mutated);Extraskeletal_osteosarcoma(ATRX_mutated);Undifferentiated_sarcoma(ATRX_SNV)	
17	63524681	63557765	AXIN2	Soft_tissue:Extraskeletal_osteosarcoma(AXIN2_mutated)	
18	60790579	60987361	BCL2	Bone_tumor:Primary_non-Hodgkin_lymphoma_of_bone(BCL2_SV)	
3	187439165	187463515	BCL6	Bone_tumor:Primary_non-Hodgkin_lymphoma_of_bone(BCL6_SV)	
6	136578001	136610989	BCLAF1	Bone_tumor:Chondromyxoid_fibroma(BCLAF1::GRM1)	
X	39909068	40036582	BCOR	Soft_tissue:Embryonal_rhabdomyosarcoma(BCOR_SNV);Extraskeletal_osteosarcoma(BCOR_mutated);Ossifying_fibromyxoid_tumour(BCOR_SV)|Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(BCOR::CCNB3,BCOR::MAML2,BCOR::,BCOR_ITD)	
X	129115083	129192058	BCORL1	Soft_tissue:Ossifying_fibromyxoid_tumour(BCORL1_SV)	
12	70037140	70093256	BEST3	Soft_tissue:Intimal_sarcoma(BEST3_amp)	
15	91260558	91358859	BLM	Genetic_tumor_syndrome:Bloom_syndrome(BLM)	
3	112929850	113006303	BOC	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(BOC::PLAG1)	
7	140419127	140624564	BRAF	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(::BRAF);Infantile_fibrosarcoma(::BRAF);Clear_cell_sarcoma_of_soft_tissue(BRAF_SNV);Glomous_tumour(BRAF_SNV)|Bone_tumor:Langerhans_cell_histiocytosis(BRAF_SNV);Erdheim-Chester_disease(BRAF_SNV);Rosai-Dorfman_disease(BRAF_SNV)|Genetic_tumor_syndrome:Cardiofaciocutaneous_syndrome(BRAF)	
17	41196312	41277500	BRCA1	Soft_tissue:Extraskeletal_osteosarcoma(BRCA1_mutated)	
13	32889611	32973805	BRCA2	Soft_tissue:Elastofibroma(BRCA2_del)	
15	40453224	40513337	BUB1B	Genetic_tumor_syndrome:Mosaic_variegated_aneuploidy_syndrome_1(BUB1B)	
11	63527364	63536113	C11orf95	Soft_tissue:Chondroid_lipoma(C11orf95::MRTFB)	
9	16203933	16276311	C9orf92	Soft_tissue:Myolipoma_of_soft_tissue(HMGA2::C9orf92)	
1	6845384	7829766	CAMTA1	Soft_tissue:Epithelioid_haemangioendothelioma(WWTR1::CAMTA1)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(WWTR1::CAMTA1)	
11	3022152	3078843	CARS	Soft_tissue:Inflammatory_myofibroblastic_tumour(CARS::ALK)	
3	121902530	122005342	CASR	Soft_tissue:Elastofibroma(CASR_del)	
X	49967364	50094909	CCNB3	Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(BCOR::CCNB3)	
11	69455855	69469242	CCND1	Soft_tissue:Myxofibrosarcoma(CCND1_amp)	
19	30302805	30315215	CCNE1	Soft_tissue:Undifferentiated_sarcoma(CCNE1_amp)	
12	56119107	56123491	CD63	Soft_tissue:Deep_fibrous_histiocytoma(CD63::PRKCD,CD63::PRKCB)	
6	44355262	44418163	CDC5L	Soft_tissue:Extraskeletal_osteosarcoma(CDC5L_gain_amp)	
16	64977656	65160015	CDH11	Bone_tumor:Aneurysmal_bone_cyst(CDH11::USP6)	
12	58141510	58149796	CDK4	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(CDK4_amp);Dedifferentiated_liposarcoma(CDK4_amp);Alveolar_rhabdomyosarcoma(CDK4_amp);Extraskeletal_osteosarcoma(CDK4_gain_amp);Intimal_sarcoma(CDK4_amp)|Bone_tumor:Central_chondrosarcoma,_grades_2_and_3(CDK4_amp);Low-grade_central_osteosarcoma(CDK4_amp);Osteosarcoma(CDK4_amp);Parosteal_osteosarcoma(CDK4_amp)	
7	92234235	92465908	CDK6	Soft_tissue:Myxofibrosarcoma(CDK6_amp)	
11	2904443	2907111	CDKN1C	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(CDKN1C)	
9	21967751	21995300	CDKN2A	Soft_tissue:Neurofibroma(CDKN2A_del);Myxofibrosarcoma(CDKN2A_mutated);Atypical_neurofibroma/atypical_neurofibromatous_neoplasm(CDKN2A_del);Malignant_peripheral_nerve_sheath_tumour(CDKN2A_mutated);Extraskeletal_osteosarcoma(CDKN2A_del);Intimal_sarcoma(CDKN2A_del);Undifferentiated_sarcoma(CDKN2A_del)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(CDKN2A_del);Periosteal_chondrosarcoma(CDKN2A_del);Clear_cell_chondrosarcoma(CDKN2A_del);Fibrosarcoma_of_bone(CDKN2A_del)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(CDKN2A_mutated);Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(CDKN2A_del)|GYN:Adenocarcinoma(CDKN2A_SNV)	
9	22002902	22009362	CDKN2B	Soft_tissue:Neurofibroma(CDKN2B_del);Myxofibrosarcoma(CDKN2B_mutated);Atypical_neurofibroma/atypical_neurofibromatous_neoplasm(CDKN2B_del);Malignant_peripheral_nerve_sheath_tumour(CDKN2B_mutated);Undifferentiated_sarcoma(CDKN2B_del)|Undifferentiated_small_round_cell_sarcoma:Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(CDKN2B_del)	
11	125495036	125546150	CHEK1	Soft_tissue:Dedifferentiated_liposarcoma(CHEK1_del)	
22	29083731	29138410	CHEK2	Soft_tissue:Extraskeletal_osteosarcoma(CHEK2_mutated)|Genetic_tumor_syndrome:Li-Fraumeni_syndrome_2(CHEK2)	
3	87276421	87304698	CHMP2B	Soft_tissue:Haemosiderotic_fibrolipomatous_tumour(CHM2B_amp)	
2	233390703	233401377	CHRND	Soft_tissue:Ectomesenchymoma(CHRND_amp)	
19	42772689	42799949	CIC	Soft_tissue:Angiosarcomas(CIC_mutated)|Undifferentiated_small_round_cell_sarcoma:CIC-rearranged_sarcoma(CIC::DUX4,CIC::FOXO4,CIC::LEUTX,CIC::NUTM1,CIC::NUTM2A,CIC::)	
6	139693393	139695757	CITED2	Soft_tissue:Spindle_cell/sclerosing_rhabdomyosarcoma(VGLL2::CITED2);Undifferentiated_sarcoma(CITED2::PRDM10)	
17	57697219	57773671	CLTC	Soft_tissue:Inflammatory_myofibroblastic_tumour(CLTC::ALK)	
3	128888327	128902765	CNBP	Bone_tumor:Aneurysmal_bone_cyst(CNBP::USP6)	
17	7533572	7536672	CNC2	Soft_tissue:Malignant_melanotic_nerve_sheath_tumour(CNC2_mutated)	
6	75794042	75915767	COL12A1	Bone_tumor:Subungual_exostosis(IRS4_SV);Chondromyxoid_fibroma(COL12A1::GRM1)	
17	48260650	48278993	COL1A1	Soft_tissue:Giant_cell_fibroblastoma(COL1A1::PDGFB);Dermatofibrosarcoma_protuberans(COL1A1::PDGFB)|Bone_tumor:Aneurysmal_bone_cyst(COL1A1::USP6)	
7	94023873	94060544	COL1A2	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(COL1A2::PLAG1)	
12	48366748	48398269	COL2A1	Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(COL2A1_mutated)	
2	189839046	189877472	COL3A1	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(COL3A1::PLAG1)	
2	238232646	238323018	COL6A3	Soft_tissue:Dermatofibrosarcoma_protuberans(COL6A3::PDGFD)	
17	17150141	17184607	COPS3	Soft_tissue:Extraskeletal_osteosarcoma(COPS3_gain_amp)	
12	69235977	69365350	CPM	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(CPM_amp);Dedifferentiated_liposarcoma(CPM_amp)	
2	208394461	208468155	CREB1	Soft_tissue:Angiomatoid_fibrous_histiocytoma(EWSR1::CREB1);Clear_cell_sarcoma_of_soft_tissue(EWSR1::CREB1)	
11	46299212	46342972	CREB3L1	Soft_tissue:Low-grade_fibromyxoid_sarcoma(FUS::CREB3L1,EWSR1::CREB3L1);Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L1,PAX5::CREB3L1)	
7	137559725	137686813	CREB3L2	Soft_tissue:Low-grade_fibromyxoid_sarcoma(FUS::CREB3L2);Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L2,FUS::CREB3L2)	
19	4153598	4173051	CREB3L3	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(EWSR1::CREB3L3)	
16	3775055	3930727	CREBBP	Soft_tissue:Ossifying_fibromyxoid_tumour(CREBBP_SV)|Genetic_tumor_syndrome:Rubinstein-Taybi_syndrome_1(CREBBP)	
10	35415719	35501886	CREM	Soft_tissue:Sclerosing_epithelioid_fibrosarcoma(FUS::CREM)	
1	110452864	110473614	CSF1	Soft_tissue:Tenosynovail_giant_cell_tumour(CSF1_SV)	
