chromosome	start 	end 	gene	mutation								
9	130713043	130887675	ABL1	Soft_tissue:Angiofibroma_of_soft_tissue(GAB1::ABL1);Perineurioma(ABL1_SV)								
19	11574653	11579993	ACP5	Genetic_tumor_syndrome:Spondyloenchondrodysplasia(ACP5)								
7	5526409	5563902	ACTB	Soft_tissue:Epithelioid_haemangioma(FOSB::ACTB);Pseudomyogenic_haemangioendothelioma(ACTB::FOSB)								
2	157736251	157876330	ACVR1	Genetic_tumor_syndrome:Fibrodysplasia_ossificans_progressiva(ACVR1)								
2	147844517	147930826	ACVR2A	Bone_tumor:Synovial_chondromatosis(FN1::ACVR2A,ACVR2A::FN1)								
5	321714	438291	AHRR	Soft_tissue:Angiofibroma_of_soft_tissue(AHRR::NCOA2)								
11	67468174	67491154	AIP	Soft_tissue:Hibernoma(AIP_del)								
14	104769349	104795759	AKT1	Genetic_tumor_syndrome:Proteus_syndrome(AKT1)								
2	29192774	29921586	ALK	Soft_tissue:Inflammatory_myofibroblastic_tumour(TPM3::ALK,TPM4::ALK,CLTC::ALK,CARS::ALK,ATIC::ALK,SEC31L1::ALK,PPFIBP1::ALK,DCTN1::ALK,EML4::ALK,PRKAR1A::ALK,LMNA::ALK,TFG::ALK,FN1::ALK,HNRNPA1::ALK,::ALK,RANBP::ALK,RRBP1::ALK);Leiomyosarcoma(ALK_SV)								
5	33986165	34008104	AMACR	Soft_tissue:Myxofibrosarcoma(AMACR_gain)								
X	64185117	64205708	AMER1	Soft_tissue:Extraskeletal_osteosarcoma(AMER1_mutated)								
2	69013176	69249327	ANTXR1	Genetic_tumor_syndrome:Haemangioma_capillary_infantile(ANTXR1)								
4	79901146	80125454	ANTXR2	Soft_tissue:Juvenile_hyaline_fibromatosis(ANTXR2_mutated)|Genetic_tumor_syndrome:Hyaline_fibromatosis_syndrome(ANTXR2)								
5	112707518	112846239	APC	Soft_tissue:Elastofibroma(APC_gain);Desmoid_fibromatosis(APC_mutated)|Bone_tumor:Osteoma(APC_mutated)|Genetic_tumor_syndrome:Desmoid_disease(APC);Familial_adenomatous_polyposis_1(APC)								
X	47561205	47571908	ARAF	Bone_tumor:Langerhans_cell_histiocytosis(ARAF_SNV);Erdheim-Chester_disease(ARAF_SNV);Rosai-Dorfman_disease(ARAF_SNV)								
1	26693236	26782104	ARID1A	Soft_tissue:Schwannoma(ARID1A_mutated)|GYN:Adenocarcinoma(ARID1A_SNV)								
6	156776020	157210779	ARID1B	Soft_tissue:Schwannoma(ARID1B_mutated)								
10	61901684	62096944	ARID5B	Soft_tissue:Extraskeletal_osteosarcoma(ARID5B_mutated)								
17	81976807	82017406	ASPSCR1	Soft_tissue:Alveolar_soft_part_sarcoma(ASPSCR1::TFE3)								
12	50763710	50821162	ATF1	Soft_tissue:Angiomatoid_fibrous_histiocytoma(EWSR1::ATF1,FUS::ATF1);Myoepithelioma,_myoepithelial carcinoma,_and_mixed_tumour(EWSR1::ATF1);Clear_cell_sarcoma_of_soft_tissue(EWSR1::ATF1)								
2	215311956	215349773	ATIC	Soft_tissue:Inflammatory_myofibroblastic_tumour(ATIC::ALK)								
11	108222804	108369102	ATM	Soft_tissue:Dedifferentiated_liposarcoma(ATM_del)|GYN:Adenocarcinoma(ATM_SNV)								
X	154428633	154436516	ATP6AP1	Soft_tissue:Granular_cell_tumour(ATP6AP1_mutated) 								
X	40579372	40606848	ATP6AP2	Soft_tissue:Granular_cell_tumour(ATP6AP2_mutated) 								
X	77504880	77786233	ATRX	Soft_tissue:Dedifferentiated_liposarcoma(ATRX_del);Leiomyosarcoma(ATRX_mutated);Extraskeletal_osteosarcoma(ATRX_mutated);Undifferentiated_sarcoma(ATRX_SNV)								
17	65528563	65561648	AXIN2	Soft_tissue:Extraskeletal_osteosarcoma(AXIN2_mutated)								
18	63123346	63320128	BCL2	Bone_tumor:Primary_non-Hodgkin_lymphoma_of_bone(BCL2_SV)								
3	187721377	187745725	BCL6	Bone_tumor:Primary_non-Hodgkin_lymphoma_of_bone(BCL6_SV)								
6	136256627	136289851	BCLAF1	Bone_tumor:Chondromyxoid_fibroma(BCLAF1::GRM1)								
X	40049815	40177329	BCOR	Soft_tissue:Embryonal_rhabdomyosarcoma(BCOR_SNV);Extraskeletal_osteosarcoma(BCOR_mutated);Ossifying_fibromyxoid_tumour(BCOR_SV)|Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(BCOR::CCNB3,BCOR::MAML2,BCOR::,BCOR_ITD)								
X	129981107	130058071	BCORL1	Soft_tissue:Ossifying_fibromyxoid_tumour(BCORL1_SV)								
12	69643360	69699476	BEST3	Soft_tissue:Intimal_sarcoma(BEST3_amp)								
15	90717346	90816166	BLM	Genetic_tumor_syndrome:Bloom_syndrome(BLM)								
3	113211003	113287459	BOC	Soft_tissue:Lipoblastoma_and_lipoblastomatosis(BOC::PLAG1)								
7	140719327	140924929	BRAF	Soft_tissue:Myxoinflammatory_fibroblastic_sarcoma(::BRAF);Infantile_fibrosarcoma(::BRAF);Clear_cell_sarcoma_of_soft_tissue(BRAF_SNV);Glomous_tumour(BRAF_SNV)|Bone_tumor:Langerhans_cell_histiocytosis(BRAF_SNV);Erdheim-Chester_disease(BRAF_SNV);Rosai-Dorfman_disease(BRAF_SNV)|Genetic_tumor_syndrome:Cardiofaciocutaneous_syndrome(BRAF)								
17	43044295	43170245	BRCA1	Soft_tissue:Extraskeletal_osteosarcoma(BRCA1_mutated)								
13	32315086	32400268	BRCA2	Soft_tissue:Elastofibroma(BRCA2_del)								
15	40161023	40221123	BUB1B	Genetic_tumor_syndrome:Mosaic_variegated_aneuploidy_syndrome_1(BUB1B)								
11	63759892	63768775	C11orf95/ZFTA	Soft_tissue:Chondroid_lipoma(C11orf95::MRTFB)								
9	16203850	16410990	C9orf92	Soft_tissue:Myolipoma_of_soft_tissue(HMGA2::C9orf92)								
1	6785454	7769706	CAMTA1	Soft_tissue:Epithelioid_haemangioendothelioma(WWTR1::CAMTA1)|Bone_tumor:Epithelioid_haemangioendothelioma_of_bone(WWTR1::CAMTA1)								
11	3000922	3057613	CARS	Soft_tissue:Inflammatory_myofibroblastic_tumour(CARS::ALK)								
3	122183668	122291629	CASR	Soft_tissue:Elastofibroma(CASR_del)								
X	50202713	50351914	CCNB3	Undifferentiated_small_round_cell_sarcoma:Sarcoma_with_BCOR_genetic_alterations(BCOR::CCNB3)								
11	69641156	69654474	CCND1	Soft_tissue:Myxofibrosarcoma(CCND1_amp)								
19	29811991	29824312	CCNE1	Soft_tissue:Undifferentiated_sarcoma(CCNE1_amp)								
12	55725323	55729707	CD63	Soft_tissue:Deep_fibrous_histiocytoma(CD63::PRKCD,CD63::PRKCB)								
6	44387706	44450425	CDC5L	Soft_tissue:Extraskeletal_osteosarcoma(CDC5L_gain_amp)								
16	64943753	65126112	CDH11	Bone_tumor:Aneurysmal_bone_cyst(CDH11::USP6)								
12	57747727	57756013	CDK4	Soft_tissue:Atypical_lipomatous_tumour/well_differentiated_liposarcoma(CDK4_amp);Dedifferentiated_liposarcoma(CDK4_amp);Alveolar_rhabdomyosarcoma(CDK4_amp);Extraskeletal_osteosarcoma(CDK4_gain_amp);Intimal_sarcoma(CDK4_amp)|Bone_tumor:Central_chondrosarcoma,_grades_2_and_3(CDK4_amp);Low-grade_central_osteosarcoma(CDK4_amp);Osteosarcoma(CDK4_amp);Parosteal_osteosarcoma(CDK4_amp)								
7	92604921	92836573	CDK6	Soft_tissue:Myxofibrosarcoma(CDK6_amp)								
11	2883213	2885775	CDKN1C	Genetic_tumor_syndrome:Beckwith-Wiedermann_syndrome(CDKN1C)								
9	21967752	21995301	CDKN2A	Soft_tissue:Neurofibroma(CDKN2A_del);Myxofibrosarcoma(CDKN2A_mutated);Atypical_neurofibroma/atypical_neurofibromatous_neoplasm(CDKN2A_del);Malignant_peripheral_nerve_sheath_tumour(CDKN2A_mutated);Extraskeletal_osteosarcoma(CDKN2A_del);Intimal_sarcoma(CDKN2A_del);Undifferentiated_sarcoma(CDKN2A_del)|Bone_tumor:Central_chondrosarcoma,_grades_2 and_3(CDKN2A_del);Periosteal_chondrosarcoma(CDKN2A_del);Clear_cell_chondrosarcoma(CDKN2A_del);Fibrosarcoma_of_bone(CDKN2A_del)|Undifferentiated_small_round_cell_sarcoma:Ewing_sarcoma(CDKN2A_mutated);Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(CDKN2A_del)|GYN:Adenocarcinoma(CDKN2A_SNV)								
9	22002903	22009305	CDKN2B	Soft_tissue:Neurofibroma(CDKN2B_del);Myxofibrosarcoma(CDKN2B_mutated);Atypical_neurofibroma/atypical_neurofibromatous_neoplasm(CDKN2B_del);Malignant_peripheral_nerve_sheath_tumour(CDKN2B_mutated);Undifferentiated_sarcoma(CDKN2B_del)|Undifferentiated_small_round_cell_sarcoma:Round_cell_sarcoma_with_EWSR1-non-ETS_fusions(CDKN2B_del)								
11	125625163	125676255	CHEK1	Soft_tissue:Dedifferentiated_liposarcoma(CHEK1_del)								
